PR Number,Issue Number,Files,Date Committed,Date Closed,Author,Title,Body,Comments
149,main,"src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json, src/layout/index.tsx, src/view/General.tsx",2023-01-05T02:43:53Z,2023-01-05T03:59:58Z,tk103331,auto update policy,"
<img width=""800"" alt=""control_update"" src=""https://user-images.githubusercontent.com/4404609/210689535-77a904fb-84a4-4fe0-9f38-99cbbcab4cf2.png"">

<img width=""282"" alt=""menu_update"" src=""https://user-images.githubusercontent.com/4404609/210689555-db39e319-5e2c-4c37-a2b8-fca004b38e1a.png"">
",
148,main,"README-ZH_CN.md, README.md",2023-01-05T01:43:29Z,2023-01-05T03:26:20Z,yixinBC,readme:install,It's a pr for #142 ,
147,main,.github/ISSUE_TEMPLATE/bug_report.yml,2023-01-04T09:49:05Z,2023-01-04T09:58:05Z,yixinBC,improve the bug report template,,
145,main,"src-tauri/Cargo.toml, src-tauri/src/app/menu.rs, src-tauri/src/conf.rs, src/view/General.tsx",2023-01-04T09:00:47Z,2023-01-04T09:16:46Z,tk103331,Add feature: follow system theme,"Add feature: follow system theme

<img width=""800"" alt=""system_theme"" src=""https://user-images.githubusercontent.com/4404609/210519495-3580fc67-e34a-4d98-a8d6-acf4ccb63849.png"">
<img width=""290"" alt=""menu_system"" src=""https://user-images.githubusercontent.com/4404609/210519510-174be37a-5963-4673-bb60-ccf958031021.png"">
",
144,main,"src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json, src/layout/index.scss, src/layout/index.tsx, src/view/General.tsx",2023-01-04T05:27:39Z,2023-01-04T05:53:57Z,tk103331,Optimize ‘check for updates’,"1、Manually check for updates in 'Control Center'
<img width=""800"" alt=""control_center"" src=""https://user-images.githubusercontent.com/4404609/210489807-f3908766-f4c9-4c01-8295-7a02e259c624.png"">

2、Manually check for updates in menu
<img width=""201"" alt=""menu"" src=""https://user-images.githubusercontent.com/4404609/210489825-a3cf50e1-513d-44f0-912e-027429467c1c.png"">
<img width=""260"" alt=""image"" src=""https://user-images.githubusercontent.com/4404609/210489942-c4bfeb40-b911-4490-9047-5690a179a52c.png"">


3、Add 'Auto Check Update' config to control whether to check for updates on start
<img width=""800"" alt=""auto"" src=""https://user-images.githubusercontent.com/4404609/210489851-7fb41e46-50c7-4688-b1af-3fe3d934b540.png"">
",
141,main,".github/ISSUE_TEMPLATE/bug_report.yml, .github/ISSUE_TEMPLATE/docmentation_issue.yml",2023-01-04T01:38:22Z,2023-01-04T01:41:45Z,yixinBC,Add isuue template for documentation,and a small typo fix,
135,updated-frontend-readme,README.md,2023-01-03T11:45:18Z,2023-01-04T01:49:25Z,Irene-123,"fix: headers, license","Hello there, 
I have updated the readme by fixing the headers, adding a license tag and some points. The changes are quite basic, if we need to do any other major changes, do let me know. Thank you",It's better to use \*\*  \*\* for bold | those four elements are in one level and don't have particular orders. | those four elements are in one level and don't have particular orders. | those four elements are in one level and don't have particular orders. | those four elements are in one level and don't have particular orders. | so just don't make changes there | sure
132,main,".github/ISSUE_TEMPLATE/bug_report.yml, .github/ISSUE_TEMPLATE/build_error_report.yml, .github/ISSUE_TEMPLATE/config.yml, .github/ISSUE_TEMPLATE/feature_request.yml, .github/ISSUE_TEMPLATE/security.yml",2023-01-03T10:43:33Z,2023-01-03T10:47:57Z,yixinBC,add issue templates,,
130,main,"src-tauri/src/app/cmd.rs, src-tauri/src/conf.rs, src-tauri/src/main.rs, src/view/General.tsx",2023-01-03T09:36:35Z,2023-01-03T09:43:47Z,tk103331,"Add ""Reset to defaults"" in Control Center","Add ""Reset to defaults"" in Control Center

<img width=""800"" alt=""chatgpt-reset"" src=""https://user-images.githubusercontent.com/4404609/210331794-cc57034c-92a2-4517-af1b-cb3e07642172.png"">
",
128,patch-1,AWESOME.md,2023-01-03T07:51:04Z,2023-01-03T08:28:32Z,turric4n,Update AWESOME.md,,
127,patch-1,README.md,2023-01-02T17:16:53Z,2023-01-03T14:04:14Z,beyzadp,Update README.md,,
121,yixinBC-patch-1,README.md,2023-01-01T04:53:08Z,2023-01-01T05:12:09Z,yixinBC,make AppImage the default Linux installation file,"Almost all Linux distributions can run AppImage file,however, only those Linux distributions which has  `dpkg` command can install a deb file.BTW, AppImage contains all the dependencies and library files that app needs while running,which can avoid many local library link errors.",
119,doc,README-ZH_CN.md,2022-12-31T14:38:38Z,2022-12-31T14:38:43Z,lencx,readme,,
118,revert-117-doc,,2022-12-31T13:38:36Z,2022-12-31T13:39:30Z,lencx,"Revert ""doc: readme""",Reverts lencx/ChatGPT#117,
117,doc,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/Cargo.toml, src-tauri/src/app/cmd.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/core.js, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json, src/view/General.tsx, src/view/model/SyncCustom/index.tsx, src/view/model/SyncPrompts/index.tsx, src/view/model/SyncRecord/config.tsx",2022-12-31T13:32:50Z,2022-12-31T13:33:34Z,lencx,doc: readme,,
116,main,README-ZH_CN.md,2022-12-31T13:11:43Z,2022-12-31T13:17:41Z,VinchanGit,doc: readme zh-cn,,
115,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/Cargo.toml, src-tauri/src/app/cmd.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/core.js, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json, src/view/General.tsx, src/view/model/SyncCustom/index.tsx, src/view/model/SyncPrompts/index.tsx, src/view/model/SyncRecord/config.tsx",2022-12-31T12:27:38Z,2022-12-31T12:27:50Z,lencx,fix: customize global shortcuts,,
101,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/Cargo.toml, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/cmd.js, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/tauri.conf.json",2022-12-29T13:31:37Z,2022-12-29T13:31:44Z,lencx,chore: optimize,,
97,main,src-tauri/src/assets/export.js,2022-12-28T09:53:09Z,2022-12-28T10:22:32Z,Sturlen,Make the added action buttons match the existing text color,"Previous:
![image](https://user-images.githubusercontent.com/43607012/209793318-4ef0630d-a00a-4c2f-acf2-696b6008baf1.png)


New:
![image](https://user-images.githubusercontent.com/43607012/209792825-ecfc7aec-51c1-42b9-bdfd-8e2331436f5c.png)

Uses the existing text color of the button.",
92,dev,"README-ZH_CN.md, README.md, UPDATE_LOG.md, src-tauri/icons/tray-icon-light.png, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json",2022-12-27T19:48:40Z,2022-12-27T19:49:04Z,lencx,fix: windows can't start,,
